2018-10-08 13:54:11 Notice: Notice (8): Undefined index: Images in [C:\Program Files (x86)\Ampps\www\tp1\vendor\cakephp\bake\src\View\Helper\DocBlockHelper.php, line 238]


2018-10-08 14:17:55 Notice: Notice (8): Undefined index: Files in [C:\Program Files (x86)\Ampps\www\tp1\vendor\cakephp\bake\src\View\Helper\DocBlockHelper.php, line 238]


2018-10-24 13:44:11 Notice: Notice (8): Undefined index: Offres in [C:\Program Files (x86)\Ampps\www\GestionDesStages2\vendor\cakephp\bake\src\View\Helper\DocBlockHelper.php, line 238]


2018-10-24 13:46:03 Notice: Notice (8): Undefined index: Etudiants in [C:\Program Files (x86)\Ampps\www\GestionDesStages2\vendor\cakephp\bake\src\View\Helper\DocBlockHelper.php, line 238]


2018-10-26 10:25:27 Notice: Notice (8): Undefined index: role_id in [C:\Program Files (x86)\Ampps\www\CakePHP-3.6.10\GestionDesStages\src\Controller\EtudiantsController.php, line 115]


2018-11-07 02:49:40 Notice: Notice (8): Undefined property: App\Test\TestCase\Model\Table\MilieudestagesTableTest::$MilieudestagesTable in [C:\Program Files (x86)\Ampps\www\Gestion\tests\TestCase\Model\Table\MilieudestagesTableTest.php, line 62]


2018-11-07 02:50:05 Notice: Notice (8): Undefined property: App\Test\TestCase\Model\Table\MilieudestagesTableTest::$MilieudestagesTable in [C:\Program Files (x86)\Ampps\www\Gestion\tests\TestCase\Model\Table\MilieudestagesTableTest.php, line 62]


2018-11-07 02:55:27 Notice: Notice (8): Undefined property: App\Test\TestCase\Model\Table\MilieudestagesTableTest::$MilieudestagesTable in [C:\Program Files (x86)\Ampps\www\Gestion\tests\TestCase\Model\Table\MilieudestagesTableTest.php, line 62]


2018-11-07 02:55:36 Notice: Notice (8): Undefined property: App\Test\TestCase\Model\Table\MilieudestagesTableTest::$MilieudestagesTable in [C:\Program Files (x86)\Ampps\www\Gestion\tests\TestCase\Model\Table\MilieudestagesTableTest.php, line 62]


2018-11-07 02:56:30 Notice: Notice (8): Trying to get property of non-object in [C:\Program Files (x86)\Ampps\www\Gestion\tests\TestCase\Model\Table\MilieudestagesTableTest.php, line 71]


2018-11-07 02:56:56 Notice: Notice (8): Trying to get property of non-object in [C:\Program Files (x86)\Ampps\www\Gestion\tests\TestCase\Model\Table\MilieudestagesTableTest.php, line 72]


2018-11-07 02:57:17 Notice: Notice (8): Trying to get property of non-object in [C:\Program Files (x86)\Ampps\www\Gestion\tests\TestCase\Model\Table\MilieudestagesTableTest.php, line 72]


2018-11-07 02:57:45 Notice: Notice (8): Trying to get property of non-object in [C:\Program Files (x86)\Ampps\www\Gestion\tests\TestCase\Model\Table\MilieudestagesTableTest.php, line 72]


2018-11-07 02:58:37 Notice: Notice (8): Trying to get property of non-object in [C:\Program Files (x86)\Ampps\www\Gestion\tests\TestCase\Model\Table\MilieudestagesTableTest.php, line 72]


2018-11-07 02:59:35 Notice: Notice (8): Trying to get property of non-object in [C:\Program Files (x86)\Ampps\www\Gestion\tests\TestCase\Model\Table\MilieudestagesTableTest.php, line 72]


2018-11-07 02:59:57 Notice: Notice (8): Trying to get property of non-object in [C:\Program Files (x86)\Ampps\www\Gestion\tests\TestCase\Model\Table\MilieudestagesTableTest.php, line 72]


2018-11-07 03:02:08 Notice: Notice (8): Trying to get property of non-object in [C:\Program Files (x86)\Ampps\www\Gestion\tests\TestCase\Model\Table\MilieudestagesTableTest.php, line 70]


2018-11-07 03:02:08 Notice: Notice (8): Trying to get property of non-object in [C:\Program Files (x86)\Ampps\www\Gestion\tests\TestCase\Model\Table\MilieudestagesTableTest.php, line 71]


